"","Fiscal.Year","Pricing.Mechanism.sum","SubCustomer.component","USDATL","Obligation.2014"
"396",2013-09-30,"Cost+","Navy","YOUNG",3.26070410383873
"397",2013-09-30,"Cost+","Navy","CARTER",3.65719324117477
"398",2013-09-30,"Cost+","Navy","KENDALL",18.4169335253256
"399",2013-09-30,"Cost+","Air Force","YOUNG",2.86670730024221
"400",2013-09-30,"Cost+","Air Force","CARTER",1.6360577926991
"401",2013-09-30,"Cost+","Air Force","KENDALL",12.7058929780905
"402",2013-09-30,"Cost+","DLA","YOUNG",0.00118004163704682
"403",2013-09-30,"Cost+","DLA","CARTER",0.0143354654679598
"404",2013-09-30,"Cost+","DLA","KENDALL",0.068189764221895
"405",2013-09-30,"Cost+","MDA","YOUNG",0.0989796174916218
"406",2013-09-30,"Cost+","MDA","CARTER",0.845225012709556
"407",2013-09-30,"Cost+","MDA","KENDALL",2.88842521005372
"408",2013-09-30,"Cost+","Military
Health","YOUNG",0.000428750571239972
"409",2013-09-30,"Cost+","Military
Health","CARTER",2.95342926299167
"410",2013-09-30,"Cost+","Military
Health","KENDALL",4.67531591138834
"411",2013-09-30,"Cost+","Additional
DoD
Components","YOUNG",0.0313229752945059
"412",2013-09-30,"Cost+","Additional
DoD
Components","CARTER",0.395270420986696
"413",2013-09-30,"Cost+","Additional
DoD
Components","KENDALL",3.91541094684229
"414",2013-09-30,"Fixed","Army","YOUNG",1.27703691042734
"415",2013-09-30,"Fixed","Army","CARTER",3.46744856364121
"416",2013-09-30,"Fixed","Army","KENDALL",54.6576798751776
"417",2013-09-30,"Fixed","Navy","YOUNG",2.82217911306103
"418",2013-09-30,"Fixed","Navy","CARTER",4.33985185200518
"419",2013-09-30,"Fixed","Navy","KENDALL",50.3801788089977
"420",2013-09-30,"Fixed","Air Force","YOUNG",0.81956276034772
"421",2013-09-30,"Fixed","Air Force","CARTER",1.8932859347255
"422",2013-09-30,"Fixed","Air Force","KENDALL",30.9021781239192
"423",2013-09-30,"Fixed","DLA","YOUNG",0.319854260989032
"424",2013-09-30,"Fixed","DLA","CARTER",0.0899550852403778
"425",2013-09-30,"Fixed","DLA","KENDALL",33.6628759729201
"426",2013-09-30,"Fixed","MDA","YOUNG",0.000168875017162588
"427",2013-09-30,"Fixed","MDA","CARTER",0.00250529607382959
"428",2013-09-30,"Fixed","MDA","KENDALL",0.77079293675688
"429",2013-09-30,"Fixed","Military
Health","YOUNG",1.89559182569392
"430",2013-09-30,"Fixed","Military
Health","CARTER",0.00136657390890627
"431",2013-09-30,"Fixed","Military
Health","KENDALL",0.894562647286991
"432",2013-09-30,"Fixed","Additional
DoD
Components","YOUNG",0.151952615850614
"433",2013-09-30,"Fixed","Additional
DoD
Components","CARTER",0.92807379508825
"434",2013-09-30,"Fixed","Additional
DoD
Components","KENDALL",11.3487423697153
"435",2013-09-30,"Other","Navy","YOUNG",0.000347202762262618
"436",2013-09-30,"Other","Navy","CARTER",0
"437",2013-09-30,"Other","DLA","YOUNG",0
"438",2013-09-30,"Time/Mat.","Army","YOUNG",-0.0187747002372296
"439",2013-09-30,"Time/Mat.","Army","CARTER",0.434220708369656
"440",2013-09-30,"Time/Mat.","Army","KENDALL",2.17073770333299
"441",2013-09-30,"Time/Mat.","Navy","YOUNG",-0.00140165217071189
"442",2013-09-30,"Time/Mat.","Navy","CARTER",0.00889179929521682
"443",2013-09-30,"Time/Mat.","Navy","KENDALL",0.265241228407535
"444",2013-09-30,"Time/Mat.","Air Force","YOUNG",-0.033421338987712
"445",2013-09-30,"Time/Mat.","Air Force","CARTER",0.075243795677973
"446",2013-09-30,"Time/Mat.","Air Force","KENDALL",0.533508541099624
"447",2013-09-30,"Time/Mat.","DLA","YOUNG",0.000857241940184828
"448",2013-09-30,"Time/Mat.","DLA","CARTER",0.000601601028231949
"449",2013-09-30,"Time/Mat.","DLA","KENDALL",0.0234605575745912
"450",2013-09-30,"Time/Mat.","MDA","YOUNG",0.020693218575099
"451",2013-09-30,"Time/Mat.","MDA","CARTER",0.00422651338925561
"452",2013-09-30,"Time/Mat.","MDA","KENDALL",0.0009543477550523
"453",2013-09-30,"Time/Mat.","Military
Health","YOUNG",0.00260407486544125
"454",2013-09-30,"Time/Mat.","Military
Health","CARTER",0
"455",2013-09-30,"Time/Mat.","Military
Health","KENDALL",0.0284352029856809
"456",2013-09-30,"Time/Mat.","Additional
DoD
Components","YOUNG",-0.0188535336424292
"457",2013-09-30,"Time/Mat.","Additional
DoD
Components","CARTER",0.124895022945161
"458",2013-09-30,"Time/Mat.","Additional
DoD
Components","KENDALL",0.18654183429217
"459",2013-09-30,"Unlabeled","Army","YOUNG",0
"460",2013-09-30,"Unlabeled","Army","CARTER",0
"461",2013-09-30,"Unlabeled","Army","KENDALL",-1.70972885142683e-06
"462",2013-09-30,"Unlabeled","Navy","YOUNG",0
"463",2013-09-30,"Unlabeled","Navy","CARTER",0
"464",2013-09-30,"Unlabeled","Navy","KENDALL",0
"465",2013-09-30,"Unlabeled","Air Force","YOUNG",0
"466",2013-09-30,"Unlabeled","Air Force","CARTER",0
"467",2013-09-30,"Unlabeled","Air Force","KENDALL",0
"468",2013-09-30,"Unlabeled","DLA","KENDALL",0
"469",2013-09-30,"Unlabeled","MDA","CARTER",0
"470",2013-09-30,"Unlabeled","MDA","KENDALL",0
"471",2013-09-30,"Unlabeled","Military
Health","KENDALL",0
"472",2013-09-30,"Unlabeled","Additional
DoD
Components","YOUNG",0
"473",2013-09-30,"Unlabeled","Additional
DoD
Components","CARTER",0
"474",2013-09-30,"Unlabeled","Additional
DoD
Components","KENDALL",-0.000102116989946177
"475",2014-09-30,"Combination","Army","YOUNG",0.2636235205673
"476",2014-09-30,"Combination","Army","CARTER",0.0697076914108
"477",2014-09-30,"Combination","Navy","YOUNG",0.1668578246267
"478",2014-09-30,"Combination","Navy","CARTER",0.1392766180002
"479",2014-09-30,"Combination","Navy","KENDALL",0
"480",2014-09-30,"Combination","Air Force","YOUNG",0.0757402399113
"481",2014-09-30,"Combination","Air Force","CARTER",0.0544524936583
"482",2014-09-30,"Combination","MDA","YOUNG",-3.9075e-06
"483",2014-09-30,"Combination","Military
Health","YOUNG",0
"484",2014-09-30,"Combination","Additional
DoD
Components","YOUNG",-0.0256252703884
"485",2014-09-30,"Combination","Additional
DoD
Components","CARTER",-0.007929020231
"486",2014-09-30,"Combination","Additional
DoD
Components","KENDALL",-9.64912e-06
"487",2014-09-30,"Cost+","Army","YOUNG",0.8873486377626
"488",2014-09-30,"Cost+","Army","CARTER",2.8993968793544
"489",2014-09-30,"Cost+","Army","KENDALL",13.24804469479
"490",2014-09-30,"Cost+","Navy","YOUNG",3.5870831366509
"491",2014-09-30,"Cost+","Navy","CARTER",2.9611883696377
"492",2014-09-30,"Cost+","Navy","KENDALL",25.1267739186674
"493",2014-09-30,"Cost+","Air Force","YOUNG",2.4097010244812
"494",2014-09-30,"Cost+","Air Force","CARTER",1.3183604622233
"495",2014-09-30,"Cost+","Air Force","KENDALL",14.5688197060295
"496",2014-09-30,"Cost+","DLA","YOUNG",-1.18987187e-05
"497",2014-09-30,"Cost+","DLA","CARTER",0.0037076395195
"498",2014-09-30,"Cost+","DLA","KENDALL",0.0488192359953
"499",2014-09-30,"Cost+","MDA","YOUNG",0.0352689131645
"500",2014-09-30,"Cost+","MDA","CARTER",0.5945485625541
"501",2014-09-30,"Cost+","MDA","KENDALL",3.8710061017135
"502",2014-09-30,"Cost+","Military
Health","CARTER",3.1216415803018
"503",2014-09-30,"Cost+","Military
Health","KENDALL",6.5696098888116
"504",2014-09-30,"Cost+","Additional
DoD
Components","YOUNG",-0.1155908004003
"505",2014-09-30,"Cost+","Additional
DoD
Components","CARTER",0.2569626675716
"506",2014-09-30,"Cost+","Additional
DoD
Components","KENDALL",4.2439232318365
"507",2014-09-30,"Fixed","Army","YOUNG",0.6048099067761
"508",2014-09-30,"Fixed","Army","CARTER",1.3165039928656
"509",2014-09-30,"Fixed","Army","KENDALL",53.6357582366823
"510",2014-09-30,"Fixed","Navy","YOUNG",1.843538207278
"511",2014-09-30,"Fixed","Navy","CARTER",1.5596148705951
"512",2014-09-30,"Fixed","Navy","KENDALL",45.1443633215925
"513",2014-09-30,"Fixed","Air Force","YOUNG",0.4868933193332
"514",2014-09-30,"Fixed","Air Force","CARTER",1.5687565408096
"515",2014-09-30,"Fixed","Air Force","KENDALL",31.6603565392191
"516",2014-09-30,"Fixed","DLA","YOUNG",0.1621769137303
"517",2014-09-30,"Fixed","DLA","CARTER",0.1226792094628
"518",2014-09-30,"Fixed","DLA","KENDALL",31.4504145626233
"519",2014-09-30,"Fixed","MDA","YOUNG",-0.0006619143144
"520",2014-09-30,"Fixed","MDA","CARTER",0.0020169644442
"521",2014-09-30,"Fixed","MDA","KENDALL",0.7531757819977
"522",2014-09-30,"Fixed","Military
Health","YOUNG",0.7667509032672
"523",2014-09-30,"Fixed","Military
Health","CARTER",0.001004291462
"524",2014-09-30,"Fixed","Military
Health","KENDALL",2.5776935393325
"525",2014-09-30,"Fixed","Additional
DoD
Components","YOUNG",-0.0848555273564
"526",2014-09-30,"Fixed","Additional
DoD
Components","CARTER",0.6122644720328
"527",2014-09-30,"Fixed","Additional
DoD
Components","KENDALL",11.4536350792426
"528",2014-09-30,"Other","Army","KENDALL",0
"529",2014-09-30,"Other","Navy","YOUNG",0.000316255613
"530",2014-09-30,"Other","Air Force","KENDALL",0
"531",2014-09-30,"Time/Mat.","Army","YOUNG",-0.0662924949017
"532",2014-09-30,"Time/Mat.","Army","CARTER",0.1975723730522
"533",2014-09-30,"Time/Mat.","Army","KENDALL",1.3109941248046
"534",2014-09-30,"Time/Mat.","Navy","YOUNG",-0.0116535101948
"535",2014-09-30,"Time/Mat.","Navy","CARTER",0.0039587445925
"536",2014-09-30,"Time/Mat.","Navy","KENDALL",0.1946126964419
"537",2014-09-30,"Time/Mat.","Air Force","YOUNG",-0.0339147565447
"538",2014-09-30,"Time/Mat.","Air Force","CARTER",0.0204210653942
"539",2014-09-30,"Time/Mat.","Air Force","KENDALL",0.3448690427073
"540",2014-09-30,"Time/Mat.","DLA","YOUNG",-0.0004432034794
"541",2014-09-30,"Time/Mat.","DLA","CARTER",0.0004367078438
"542",2014-09-30,"Time/Mat.","DLA","KENDALL",0.0172902324892
"543",2014-09-30,"Time/Mat.","MDA","YOUNG",0.0162469906623
"544",2014-09-30,"Time/Mat.","MDA","CARTER",0.0048400192046
"545",2014-09-30,"Time/Mat.","MDA","KENDALL",0.0018444818027
"546",2014-09-30,"Time/Mat.","Military
Health","YOUNG",0.001284
"547",2014-09-30,"Time/Mat.","Military
Health","KENDALL",0.03438059869
"548",2014-09-30,"Time/Mat.","Additional
DoD
Components","YOUNG",-0.0314195414098
"549",2014-09-30,"Time/Mat.","Additional
DoD
Components","CARTER",0.0052612783571
"550",2014-09-30,"Time/Mat.","Additional
DoD
Components","KENDALL",0.2289189213207
"551",2014-09-30,"Unlabeled","Army","YOUNG",0
"552",2014-09-30,"Unlabeled","Army","CARTER",0
"553",2014-09-30,"Unlabeled","Army","KENDALL",0
"554",2014-09-30,"Unlabeled","Navy","YOUNG",0
"555",2014-09-30,"Unlabeled","Navy","CARTER",0
"556",2014-09-30,"Unlabeled","Navy","KENDALL",0
"557",2014-09-30,"Unlabeled","Air Force","YOUNG",0
"558",2014-09-30,"Unlabeled","Air Force","CARTER",0
"559",2014-09-30,"Unlabeled","Air Force","KENDALL",0
"560",2014-09-30,"Unlabeled","DLA","KENDALL",0
"561",2014-09-30,"Unlabeled","MDA","CARTER",0
"562",2014-09-30,"Unlabeled","MDA","KENDALL",0
"563",2014-09-30,"Unlabeled","Military
Health","KENDALL",0
"564",2014-09-30,"Unlabeled","Additional
DoD
Components","YOUNG",0
"565",2014-09-30,"Unlabeled","Additional
DoD
Components","CARTER",0
"566",2014-09-30,"Unlabeled","Additional
DoD
Components","KENDALL",0
