"","Fiscal.Year","Competition.sum","SubCustomer.component","USDATL","Obligation.2014"
"383",2012-09-30,"No Comp.","Air Force","KENDALL",34.6950245668086
"384",2012-09-30,"No Comp.","DLA","YOUNG",0.130967578951704
"385",2012-09-30,"No Comp.","DLA","CARTER",0.333947903902791
"386",2012-09-30,"No Comp.","DLA","KENDALL",6.81122971047266
"387",2012-09-30,"No Comp.","MDA","YOUNG",0.0179498011636289
"388",2012-09-30,"No Comp.","MDA","CARTER",0.93651808343116
"389",2012-09-30,"No Comp.","MDA","KENDALL",1.60286054003707
"390",2012-09-30,"No Comp.","Military
Health","YOUNG",1.18964908869323
"391",2012-09-30,"No Comp.","Military
Health","CARTER",0.00501620389249305
"392",2012-09-30,"No Comp.","Military
Health","KENDALL",0.018000762866852
"393",2012-09-30,"No Comp.","Additional
DoD
Components","YOUNG",0.0910611268870353
"394",2012-09-30,"No Comp.","Additional
DoD
Components","CARTER",0.225576850272372
"395",2012-09-30,"No Comp.","Additional
DoD
Components","KENDALL",2.73430673272567
"396",2012-09-30,"Unlabeled","Army","YOUNG",0.0672449308516116
"397",2012-09-30,"Unlabeled","Army","CARTER",0.311204716259911
"398",2012-09-30,"Unlabeled","Army","KENDALL",1.07297310533416
"399",2012-09-30,"Unlabeled","Navy","YOUNG",0.000796182319019669
"400",2012-09-30,"Unlabeled","Navy","CARTER",0.0181411037792194
"401",2012-09-30,"Unlabeled","Navy","KENDALL",0.14465991661003
"402",2012-09-30,"Unlabeled","Air Force","YOUNG",0.00132878158789002
"403",2012-09-30,"Unlabeled","Air Force","CARTER",0.0128909452682525
"404",2012-09-30,"Unlabeled","Air Force","KENDALL",0.257788490217279
"405",2012-09-30,"Unlabeled","DLA","YOUNG",0.000127955545257955
"406",2012-09-30,"Unlabeled","DLA","CARTER",-9.33894552569251e-06
"407",2012-09-30,"Unlabeled","DLA","KENDALL",0.148546897126969
"408",2012-09-30,"Unlabeled","MDA","CARTER",0
"409",2012-09-30,"Unlabeled","MDA","KENDALL",0.00116671815466996
"410",2012-09-30,"Unlabeled","Military
Health","KENDALL",0.0114115265678097
"411",2012-09-30,"Unlabeled","Additional
DoD
Components","YOUNG",0.0102685471218206
"412",2012-09-30,"Unlabeled","Additional
DoD
Components","CARTER",0.00928444400164762
"413",2012-09-30,"Unlabeled","Additional
DoD
Components","KENDALL",0.0727552700957677
"414",2013-09-30,"1 Offer","Army","YOUNG",0.0798915228402559
"415",2013-09-30,"1 Offer","Army","CARTER",0.735864955373413
"416",2013-09-30,"1 Offer","Army","KENDALL",7.33436589219894
"417",2013-09-30,"1 Offer","Navy","YOUNG",0.45779992018625
"418",2013-09-30,"1 Offer","Navy","CARTER",0.993612553904743
"419",2013-09-30,"1 Offer","Navy","KENDALL",5.03929949876247
"420",2013-09-30,"1 Offer","Air Force","YOUNG",0.155151006640093
"421",2013-09-30,"1 Offer","Air Force","CARTER",0.299981786633899
"422",2013-09-30,"1 Offer","Air Force","KENDALL",2.71905116585742
"423",2013-09-30,"1 Offer","DLA","YOUNG",0.00615828142276836
"424",2013-09-30,"1 Offer","DLA","CARTER",0.00933092466060729
"425",2013-09-30,"1 Offer","DLA","KENDALL",2.15836482239789
"426",2013-09-30,"1 Offer","MDA","YOUNG",-0.000785858750685488
"427",2013-09-30,"1 Offer","MDA","CARTER",0.0117225581788362
"428",2013-09-30,"1 Offer","MDA","KENDALL",0.439401877708033
"429",2013-09-30,"1 Offer","Military
Health","YOUNG",0.000447245746623337
"430",2013-09-30,"1 Offer","Military
Health","CARTER",0.00158732302234183
"431",2013-09-30,"1 Offer","Military
Health","KENDALL",0.0258225794206357
"432",2013-09-30,"1 Offer","Additional
DoD
Components","YOUNG",0.030105411620392
"433",2013-09-30,"1 Offer","Additional
DoD
Components","CARTER",0.229698902646593
"434",2013-09-30,"1 Offer","Additional
DoD
Components","KENDALL",1.7505182575035
"435",2013-09-30,"2 Offers","Army","YOUNG",0.651202638687316
"436",2013-09-30,"2 Offers","Army","CARTER",1.03724646502843
"437",2013-09-30,"2 Offers","Army","KENDALL",9.09518754245821
"438",2013-09-30,"2 Offers","Navy","YOUNG",0.549865729248807
"439",2013-09-30,"2 Offers","Navy","CARTER",0.983448317271149
"440",2013-09-30,"2 Offers","Navy","KENDALL",8.31585836054819
"441",2013-09-30,"2 Offers","Air Force","YOUNG",0.514353131807759
"442",2013-09-30,"2 Offers","Air Force","CARTER",0.831271692462577
"443",2013-09-30,"2 Offers","Air Force","KENDALL",6.23407472631553
"444",2013-09-30,"2 Offers","DLA","YOUNG",0.0499880044074337
"445",2013-09-30,"2 Offers","DLA","CARTER",0.0467286234670458
"446",2013-09-30,"2 Offers","DLA","KENDALL",3.9895577100063
"447",2013-09-30,"2 Offers","MDA","YOUNG",0
"448",2013-09-30,"2 Offers","MDA","CARTER",-1.35373819437392e-05
"449",2013-09-30,"2 Offers","MDA","KENDALL",0.489001152362953
"450",2013-09-30,"2 Offers","Military
Health","YOUNG",4.42774449070783e-07
"451",2013-09-30,"2 Offers","Military
Health","CARTER",2.9497706121371
"452",2013-09-30,"2 Offers","Military
Health","KENDALL",4.68587503849761
"453",2013-09-30,"2 Offers","Additional
DoD
Components","YOUNG",0.0957190542383467
"454",2013-09-30,"2 Offers","Additional
DoD
Components","CARTER",0.200837714573068
"455",2013-09-30,"2 Offers","Additional
DoD
Components","KENDALL",1.30661577549233
"456",2013-09-30,"3+ Offers","Army","YOUNG",1.69416635907241
"457",2013-09-30,"3+ Offers","Army","CARTER",7.5143564584446
"458",2013-09-30,"3+ Offers","Army","KENDALL",28.4418977491206
"459",2013-09-30,"3+ Offers","Navy","YOUNG",2.49509494121265
"460",2013-09-30,"3+ Offers","Navy","CARTER",1.59463019367147
"461",2013-09-30,"3+ Offers","Navy","KENDALL",13.7785747043443
"462",2013-09-30,"3+ Offers","Air Force","YOUNG",0.77647633478562
"463",2013-09-30,"3+ Offers","Air Force","CARTER",0.768536759632477
"464",2013-09-30,"3+ Offers","Air Force","KENDALL",8.14378798926242
"465",2013-09-30,"3+ Offers","DLA","YOUNG",0.266613095330862
"466",2013-09-30,"3+ Offers","DLA","CARTER",0.0421734010421448
"467",2013-09-30,"3+ Offers","DLA","KENDALL",21.4216371028292
"468",2013-09-30,"3+ Offers","MDA","YOUNG",0.121800160240073
"469",2013-09-30,"3+ Offers","MDA","CARTER",0.0577291947674419
"470",2013-09-30,"3+ Offers","MDA","KENDALL",0.792396877127755
"471",2013-09-30,"3+ Offers","Military
Health","YOUNG",0.741672129406215
"472",2013-09-30,"3+ Offers","Military
Health","CARTER",-0.000505382050167564
"473",2013-09-30,"3+ Offers","Military
Health","KENDALL",0.816410327343049
"474",2013-09-30,"3+ Offers","Additional
DoD
Components","YOUNG",0.0894593532834366
"475",2013-09-30,"3+ Offers","Additional
DoD
Components","CARTER",1.089664454327
"476",2013-09-30,"3+ Offers","Additional
DoD
Components","KENDALL",9.7692144791305
"477",2013-09-30,"No Comp.","Army","YOUNG",0.726930773026607
"478",2013-09-30,"No Comp.","Army","CARTER",1.79102613624992
"479",2013-09-30,"No Comp.","Army","KENDALL",26.5485452091878
"480",2013-09-30,"No Comp.","Navy","YOUNG",5.94231231791551
"481",2013-09-30,"No Comp.","Navy","CARTER",4.64943820650848
"482",2013-09-30,"No Comp.","Navy","KENDALL",41.7896538985931
"483",2013-09-30,"No Comp.","Air Force","YOUNG",2.40055979571037
"484",2013-09-30,"No Comp.","Air Force","CARTER",1.75453115766995
"485",2013-09-30,"No Comp.","Air Force","KENDALL",26.8395831719628
"486",2013-09-30,"No Comp.","DLA","YOUNG",0.000361683745506246
"487",2013-09-30,"No Comp.","DLA","CARTER",0.00674374573728039
"488",2013-09-30,"No Comp.","DLA","KENDALL",6.10410426195166
"489",2013-09-30,"No Comp.","MDA","YOUNG",-0.000439558994922312
"490",2013-09-30,"No Comp.","MDA","CARTER",0.782518606608307
"491",2013-09-30,"No Comp.","MDA","KENDALL",1.93833595683782
"492",2013-09-30,"No Comp.","Military
Health","YOUNG",1.15650483320331
"493",2013-09-30,"No Comp.","Military
Health","CARTER",0.003943283791307
"494",2013-09-30,"No Comp.","Military
Health","KENDALL",0.0646138415038083
"495",2013-09-30,"No Comp.","Additional
DoD
Components","YOUNG",0.00886902503838733
"496",2013-09-30,"No Comp.","Additional
DoD
Components","CARTER",0.121131175272367
"497",2013-09-30,"No Comp.","Additional
DoD
Components","KENDALL",2.54074561532924
"498",2013-09-30,"Unlabeled","Army","YOUNG",0.0304462214415558
"499",2013-09-30,"Unlabeled","Army","CARTER",0.206047359661623
"500",2013-09-30,"Unlabeled","Army","KENDALL",0.657196780787346
"501",2013-09-30,"Unlabeled","Navy","YOUNG",-0.00214729313923022
"502",2013-09-30,"Unlabeled","Navy","CARTER",0.010291840001828
"503",2013-09-30,"Unlabeled","Navy","KENDALL",0.138967100482787
"504",2013-09-30,"Unlabeled","Air Force","YOUNG",-0.000838484627805423
"505",2013-09-30,"Unlabeled","Air Force","CARTER",0.0222505069462781
"506",2013-09-30,"Unlabeled","Air Force","KENDALL",0.20508258971108
"507",2013-09-30,"Unlabeled","DLA","YOUNG",-4.51469587691683e-05
"508",2013-09-30,"Unlabeled","DLA","CARTER",-8.45431705087844e-05
"509",2013-09-30,"Unlabeled","DLA","KENDALL",0.0808623975315324
"510",2013-09-30,"Unlabeled","MDA","YOUNG",-0.000733031410581903
"511",2013-09-30,"Unlabeled","MDA","CARTER",0
"512",2013-09-30,"Unlabeled","MDA","KENDALL",0.00103663052909516
"513",2013-09-30,"Unlabeled","Military
Health","KENDALL",0.00559197489590738
"514",2013-09-30,"Unlabeled","Additional
DoD
Components","YOUNG",0.00187857339758302
"515",2013-09-30,"Unlabeled","Additional
DoD
Components","CARTER",0.00357499998405606
"516",2013-09-30,"Unlabeled","Additional
DoD
Components","KENDALL",0.0834969077854169
"517",2014-09-30,"1 Offer","Army","YOUNG",0.0657969765958
"518",2014-09-30,"1 Offer","Army","CARTER",0.1747393162647
"519",2014-09-30,"1 Offer","Army","KENDALL",6.1077673447092
"520",2014-09-30,"1 Offer","Navy","YOUNG",0.2660176777031
"521",2014-09-30,"1 Offer","Navy","CARTER",0.7676474212525
"522",2014-09-30,"1 Offer","Navy","KENDALL",5.5755892219385
"523",2014-09-30,"1 Offer","Air Force","YOUNG",0.0882050028431
"524",2014-09-30,"1 Offer","Air Force","CARTER",0.129768641639
"525",2014-09-30,"1 Offer","Air Force","KENDALL",3.0050320882011
"526",2014-09-30,"1 Offer","DLA","YOUNG",-0.0037516146956
"527",2014-09-30,"1 Offer","DLA","CARTER",0.001698258876
"528",2014-09-30,"1 Offer","DLA","KENDALL",2.3797680777178
"529",2014-09-30,"1 Offer","MDA","YOUNG",-0.0001509252464
"530",2014-09-30,"1 Offer","MDA","CARTER",0.0105303342204
"531",2014-09-30,"1 Offer","MDA","KENDALL",0.4373668298325
"532",2014-09-30,"1 Offer","Military
Health","YOUNG",0
"533",2014-09-30,"1 Offer","Military
Health","CARTER",0.0010108691328
"534",2014-09-30,"1 Offer","Military
Health","KENDALL",0.0393049748571
"535",2014-09-30,"1 Offer","Additional
DoD
Components","YOUNG",-0.0284259635906
"536",2014-09-30,"1 Offer","Additional
DoD
Components","CARTER",0.1505176304038
"537",2014-09-30,"1 Offer","Additional
DoD
Components","KENDALL",1.6477591350473
"538",2014-09-30,"2 Offers","Army","YOUNG",0.2770912904785
"539",2014-09-30,"2 Offers","Army","CARTER",0.5474718029993
"540",2014-09-30,"2 Offers","Army","KENDALL",8.7848423901412
"541",2014-09-30,"2 Offers","Navy","YOUNG",0.4542511615361
"542",2014-09-30,"2 Offers","Navy","CARTER",1.1865286751399
"543",2014-09-30,"2 Offers","Navy","KENDALL",8.890441110246
"544",2014-09-30,"2 Offers","Air Force","YOUNG",0.8630809131296
"545",2014-09-30,"2 Offers","Air Force","CARTER",0.7419896329645
"546",2014-09-30,"2 Offers","Air Force","KENDALL",7.1889288252339
"547",2014-09-30,"2 Offers","DLA","YOUNG",0.030422873377
"548",2014-09-30,"2 Offers","DLA","CARTER",0.0333389089922
"549",2014-09-30,"2 Offers","DLA","KENDALL",2.6361669934625
"550",2014-09-30,"2 Offers","MDA","YOUNG",-1.17674503e-05
"551",2014-09-30,"2 Offers","MDA","KENDALL",0.8481475311115
"552",2014-09-30,"2 Offers","Military
Health","YOUNG",4.36e-08
"553",2014-09-30,"2 Offers","Military
Health","CARTER",3.1216911028018
"554",2014-09-30,"2 Offers","Military
Health","KENDALL",6.6838976039047
"555",2014-09-30,"2 Offers","Additional
DoD
Components","YOUNG",-0.004471845759
"556",2014-09-30,"2 Offers","Additional
DoD
Components","CARTER",0.092721923922
"557",2014-09-30,"2 Offers","Additional
DoD
Components","KENDALL",1.9828099061976
"558",2014-09-30,"3+ Offers","Army","YOUNG",1.041210919605
"559",2014-09-30,"3+ Offers","Army","CARTER",2.9781516154797
"560",2014-09-30,"3+ Offers","Army","KENDALL",27.6359067721712
"561",2014-09-30,"3+ Offers","Navy","YOUNG",1.7731042322135
"562",2014-09-30,"3+ Offers","Navy","CARTER",1.186798190502
"563",2014-09-30,"3+ Offers","Navy","KENDALL",15.0330361781168
"564",2014-09-30,"3+ Offers","Air Force","YOUNG",0.5652023589797
"565",2014-09-30,"3+ Offers","Air Force","CARTER",0.6965875283922
"566",2014-09-30,"3+ Offers","Air Force","KENDALL",9.2065782986483
"567",2014-09-30,"3+ Offers","DLA","YOUNG",0.1353573292769
"568",2014-09-30,"3+ Offers","DLA","CARTER",0.0882131606226
"569",2014-09-30,"3+ Offers","DLA","KENDALL",21.4082540121646
"570",2014-09-30,"3+ Offers","MDA","YOUNG",0.0533600397933
"571",2014-09-30,"3+ Offers","MDA","CARTER",0.0137063471663
"572",2014-09-30,"3+ Offers","MDA","KENDALL",0.9205141795653
"573",2014-09-30,"3+ Offers","Military
Health","YOUNG",0.8128416691672
"574",2014-09-30,"3+ Offers","Military
Health","CARTER",-0.0003857515508
"575",2014-09-30,"3+ Offers","Military
Health","KENDALL",0.9081555991027
"576",2014-09-30,"3+ Offers","Additional
DoD
Components","YOUNG",-0.0351986175668
"577",2014-09-30,"3+ Offers","Additional
DoD
Components","CARTER",0.6338202899003
"578",2014-09-30,"3+ Offers","Additional
DoD
Components","KENDALL",9.0756964658124
"579",2014-09-30,"No Comp.","Army","YOUNG",0.3072820068031
"580",2014-09-30,"No Comp.","Army","CARTER",0.7044194297429
"581",2014-09-30,"No Comp.","Army","KENDALL",25.0167234404657
"582",2014-09-30,"No Comp.","Navy","YOUNG",3.0931348088906
"583",2014-09-30,"No Comp.","Navy","CARTER",1.5132760114266
"584",2014-09-30,"No Comp.","Navy","KENDALL",40.6046583279494
"585",2014-09-30,"No Comp.","Air Force","YOUNG",1.4221008000795
"586",2014-09-30,"No Comp.","Air Force","CARTER",1.3934876931024
"587",2014-09-30,"No Comp.","Air Force","KENDALL",26.9868770991818
"588",2014-09-30,"No Comp.","DLA","YOUNG",-0.0003020225159
"589",2014-09-30,"No Comp.","DLA","CARTER",0.0035751113853
"590",2014-09-30,"No Comp.","DLA","KENDALL",5.0268429658649
"591",2014-09-30,"No Comp.","MDA","YOUNG",-0.0021863555442
"592",2014-09-30,"No Comp.","MDA","CARTER",0.5771688648162
"593",2014-09-30,"No Comp.","MDA","KENDALL",2.4196535514069
"594",2014-09-30,"No Comp.","Military
Health","YOUNG",-0.0448068095
"595",2014-09-30,"No Comp.","Military
Health","CARTER",0.00032965138
"596",2014-09-30,"No Comp.","Military
Health","KENDALL",1.55030296962
"597",2014-09-30,"No Comp.","Additional
DoD
Components","YOUNG",-0.187738839893
"598",2014-09-30,"No Comp.","Additional
DoD
Components","CARTER",-0.0126663111329
"599",2014-09-30,"No Comp.","Additional
DoD
Components","KENDALL",3.1636245424702
"600",2014-09-30,"Unlabeled","Army","YOUNG",-0.0018916232781
"601",2014-09-30,"Unlabeled","Army","CARTER",0.0783987721964
"602",2014-09-30,"Unlabeled","Army","KENDALL",0.6495571087896
"603",2014-09-30,"Unlabeled","Navy","YOUNG",-0.0003659663695
"604",2014-09-30,"Unlabeled","Navy","CARTER",0.0097883045045
"605",2014-09-30,"Unlabeled","Navy","KENDALL",0.3620250984511
"606",2014-09-30,"Unlabeled","Air Force","YOUNG",-0.0001692478509
"607",2014-09-30,"Unlabeled","Air Force","CARTER",0.0001570659873
"608",2014-09-30,"Unlabeled","Air Force","KENDALL",0.1866289766908
"609",2014-09-30,"Unlabeled","DLA","YOUNG",-4.7539102e-06
"610",2014-09-30,"Unlabeled","DLA","CARTER",-1.88305e-06
"611",2014-09-30,"Unlabeled","DLA","KENDALL",0.065491981898
"612",2014-09-30,"Unlabeled","MDA","YOUNG",-0.00016090954
"613",2014-09-30,"Unlabeled","MDA","KENDALL",0.0003442735977
"614",2014-09-30,"Unlabeled","Military
Health","KENDALL",2.28793496e-05
"615",2014-09-30,"Unlabeled","Additional
DoD
Components","YOUNG",-0.0016558727455
"616",2014-09-30,"Unlabeled","Additional
DoD
Components","CARTER",0.0021658646373
"617",2014-09-30,"Unlabeled","Additional
DoD
Components","KENDALL",0.0565775337523
