fiscal_year,Query_Run,Customer,SubCustomer,ServicesCategory,FundingMechanismClassification,USDATL,BBP1,WSARAreg,BBP2,BBP3,SumOfobligatedAmount,SumOfnumberOfActions
2006,2015-03-19 16:42:44.597,Defense,Navy,Products,Cost Plus Incentive,WYNNE,0,0,0,0,291394771.0000,151
2006,2015-03-19 16:42:44.597,Defense,Navy,Products,Cost Sharing,WYNNE,0,0,0,0,326284.0000,5
2006,2015-03-19 16:42:44.597,Defense,Navy,Products,Firm Fixed Price,KRIEG,0,0,0,0,11999880626.8500,101945
2006,2015-03-19 16:42:44.597,Defense,Navy,Products,Fixed Price Incentive,KRIEG,0,0,0,0,2580417332.0000,27
2006,2015-03-19 16:42:44.597,Defense,Navy,Products,Fixed Price Redetermination,WYNNE,0,0,0,0,398860.0000,5
2006,2015-03-19 16:42:44.597,Defense,Navy,Products,Not Reported,ALDRIDGE,0,0,0,0,4221922.0000,30
2006,2015-03-19 16:42:44.597,Defense,Navy,R&D,Cost No Fee,ALDRIDGE,0,0,0,0,3664388.0000,24
2006,2015-03-19 16:42:44.597,Defense,Navy,R&D,Cost Plus Award Fee,ALDRIDGE,0,0,0,0,5032400771.0000,91
2006,2015-03-19 16:42:44.597,Defense,Navy,R&D,Cost Plus Fixed Fee,WYNNE,0,0,0,0,802204623.3100,2283
2006,2015-03-19 16:42:44.597,Defense,Navy,R&D,Fixed Price Award Fee,KRIEG,0,0,0,0,-3468.0000,2
2006,2015-03-19 16:42:44.597,Defense,Navy,R&D,Not Reported,GANSLER+,0,0,0,0,0.0000,NULL
2006,2015-03-19 16:42:44.597,Defense,Navy,R&D,Order Dependent (IDV only),ALDRIDGE,0,0,0,0,0.0000,NULL
2006,2015-03-19 16:42:44.597,Defense,Other DoD,NULL,Firm Fixed Price,KRIEG,0,0,0,0,39918.6100,20
2006,2015-03-19 16:42:44.597,Defense,Other DoD,ERS,Firm Fixed Price,KRIEG,0,0,0,0,112365616.1300,509
2006,2015-03-19 16:42:44.597,Defense,Other DoD,FRS&C,Firm Fixed Price,KRIEG,0,0,0,0,80598141.3500,833
2006,2015-03-19 16:42:44.597,Defense,Other DoD,FRS&C,Fixed Price Award Fee,KRIEG,0,0,0,0,5302.0000,1
2006,2015-03-19 16:42:44.597,Defense,Other DoD,ICT,Combination (two or more),ALDRIDGE,0,0,0,0,3271829.0000,9
2006,2015-03-19 16:42:44.597,Defense,Other DoD,ICT,Combination (two or more),WYNNE,0,0,0,0,34285998.2300,75
2006,2015-03-19 16:42:44.597,Defense,Other DoD,ICT,Cost No Fee,KRIEG,0,0,0,0,12779748.0000,40
2006,2015-03-19 16:42:44.597,Defense,Other DoD,ICT,Firm Fixed Price,GANSLER+,0,0,0,0,48896349.7100,127
2006,2015-03-19 16:42:44.597,Defense,Other DoD,ICT,Firm Fixed Price,WYNNE,0,0,0,0,270890901.1100,1240
2006,2015-03-19 16:42:44.597,Defense,Other DoD,ICT,Fixed Price Incentive,WYNNE,0,0,0,0,-3215003.0000,58
2006,2015-03-19 16:42:44.597,Defense,Other DoD,ICT,Fixed Price with Economic Price Adjustment,KRIEG,0,0,0,0,271712557.0000,2166
2006,2015-03-19 16:42:44.597,Defense,Other DoD,ICT,Time and Materials,KRIEG,0,0,0,0,778107374.1100,1118
2006,2015-03-19 16:42:44.597,Defense,Other DoD,PAMS,Combination (two or more),WYNNE,0,0,0,0,30049909.7500,62
2006,2015-03-19 16:42:44.597,Defense,Other DoD,PAMS,Cost Plus Fixed Fee,ALDRIDGE,0,0,0,0,5193280.0000,23
2006,2015-03-19 16:42:44.597,Defense,Other DoD,PAMS,Firm Fixed Price,GANSLER+,0,0,0,0,4425191.1400,29
2006,2015-03-19 16:42:44.597,Defense,Other DoD,PAMS,Fixed Price with Economic Price Adjustment,KRIEG,0,0,0,0,308600.0000,2
2006,2015-03-19 16:42:44.597,Defense,Other DoD,PAMS,Labor Hours,KRIEG,0,0,0,0,26949563.3000,124
2006,2015-03-19 16:42:44.597,Defense,Other DoD,Products,Cost No Fee,KRIEG,0,0,0,0,2661478.0000,34
2006,2015-03-19 16:42:44.597,Defense,Other DoD,Products,Cost Plus Award Fee,KRIEG,0,0,0,0,3214924.0000,2
2006,2015-03-19 16:42:44.597,Defense,Other DoD,Products,Cost Plus Fixed Fee,ALDRIDGE,0,0,0,0,19263634.0000,15
2006,2015-03-19 16:42:44.597,Defense,Other DoD,Products,Firm Fixed Price,GANSLER+,0,0,0,0,102455.0000,15
2006,2015-03-19 16:42:44.597,Defense,Other DoD,Products,Fixed Price with Economic Price Adjustment,KRIEG,0,0,0,0,2631580.0000,20
2006,2015-03-19 16:42:44.597,Defense,Other DoD,Products,Labor Hours,KRIEG,0,0,0,0,6826279.0000,7
2006,2015-03-19 16:42:44.597,Defense,Other DoD,R&D,Time and Materials,ALDRIDGE,0,0,0,0,-405462.0000,4
2007,2015-03-19 16:42:44.597,Defense,Air Force,ERS,Combination (two or more),ALDRIDGE,0,0,0,0,72061046.0000,57
2007,2015-03-19 16:42:44.597,Defense,Air Force,ERS,Cost No Fee,KRIEG,0,0,0,0,43531887.6000,257
2007,2015-03-19 16:42:44.597,Defense,Air Force,ERS,Cost Plus Fixed Fee,GANSLER+,0,0,0,0,44680901.4500,14
2007,2015-03-19 16:42:44.597,Defense,Air Force,ERS,Firm Fixed Price,WYNNE,0,0,0,0,200511613.0700,1151
2007,2015-03-19 16:42:44.597,Defense,Air Force,ERS,Fixed Price Award Fee,GANSLER+,0,0,0,0,8039897.5600,21
2007,2015-03-19 16:42:44.597,Defense,Air Force,ERS,Fixed Price Incentive,ALDRIDGE,0,0,0,0,3789594.0000,7
2007,2015-03-19 16:42:44.597,Defense,Air Force,ERS,Fixed Price Incentive,WYNNE,0,0,0,0,10094119.0000,21
2007,2015-03-19 16:42:44.597,Defense,Air Force,ERS,Not Reported,YOUNG,0,0,0,0,0.0000,NULL
2007,2015-03-19 16:42:44.597,Defense,Air Force,ERS,Order Dependent (IDV only),KRIEG,0,0,0,0,0.0000,NULL
2007,2015-03-19 16:42:44.597,Defense,Air Force,ERS,Time and Materials,KRIEG,0,0,0,0,1076085615.7100,2230
2007,2015-03-19 16:42:44.597,Defense,Air Force,FRS&C,Combination (two or more),KRIEG,0,0,0,0,106039405.2300,502
2007,2015-03-19 16:42:44.597,Defense,Air Force,FRS&C,Combination (two or more),YOUNG,0,0,0,0,2191003.0000,10
2007,2015-03-19 16:42:44.597,Defense,Air Force,FRS&C,Cost Plus Incentive,GANSLER+,0,0,0,0,36970839.5300,38
2007,2015-03-19 16:42:44.597,Defense,Air Force,FRS&C,Fixed Price Incentive,ALDRIDGE,0,0,0,0,6323804.0000,84
2007,2015-03-19 16:42:44.597,Defense,Air Force,FRS&C,Not Reported,WYNNE,0,0,0,0,1059395.7400,4
2007,2015-03-19 16:42:44.597,Defense,Air Force,FRS&C,Time and Materials,ALDRIDGE,0,0,0,0,-9778.0000,12
2007,2015-03-19 16:42:44.597,Defense,Air Force,ICT,Cost No Fee,ALDRIDGE,0,0,0,0,-259072.6600,23
2007,2015-03-19 16:42:44.597,Defense,Air Force,ICT,Cost Plus Fixed Fee,KRIEG,0,0,0,0,72924468.1400,286
2007,2015-03-19 16:42:44.597,Defense,Air Force,ICT,Fixed Price Award Fee,KRIEG,0,0,0,0,12085596.8200,5
2007,2015-03-19 16:42:44.597,Defense,Air Force,ICT,Fixed Price Level of Effort,YOUNG,0,0,0,0,2710080.1900,3
2007,2015-03-19 16:42:44.597,Defense,Air Force,ICT,Labor Hours,ALDRIDGE,0,0,0,0,22528548.3800,114
2007,2015-03-19 16:42:44.597,Defense,Air Force,ICT,Not Reported,GANSLER+,0,0,0,0,0.0000,NULL
2007,2015-03-19 16:42:44.597,Defense,Air Force,ICT,Order Dependent (IDV only),ALDRIDGE,0,0,0,0,0.0000,NULL
2007,2015-03-19 16:42:44.597,Defense,Air Force,ICT,Order Dependent (IDV only),WYNNE,0,0,0,0,0.0000,NULL
2007,2015-03-19 16:42:44.597,Defense,Air Force,MED,Cost Plus Fixed Fee,YOUNG,0,0,0,0,1135950.0000,1
2007,2015-03-19 16:42:44.597,Defense,Air Force,MED,Fixed Price Award Fee,YOUNG,0,0,0,0,85182.6000,1
2007,2015-03-19 16:42:44.597,Defense,Air Force,MED,Labor Hours,KRIEG,0,0,0,0,12627862.0500,75
2007,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Cost Plus Award Fee,WYNNE,0,0,0,0,523473430.0500,171
2005,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Labor Hours,KRIEG,0,0,0,0,1065654.0000,3
2005,2015-03-19 16:42:44.597,Defense,Army,NULL,Time and Materials,KRIEG,0,0,0,0,-57251.0000,1
2005,2015-03-19 16:42:44.597,Defense,Army,ERS,Combination (two or more),KRIEG,0,0,0,0,12101772.0000,5
2005,2015-03-19 16:42:44.597,Defense,Army,ERS,Cost No Fee,WYNNE,0,0,0,0,392987532.0000,113
2005,2015-03-19 16:42:44.597,Defense,Army,ERS,Fixed Price with Economic Price Adjustment,GANSLER+,0,0,0,0,137647278.0000,23
2005,2015-03-19 16:42:44.597,Defense,Army,ERS,Not Reported,ALDRIDGE,0,0,0,0,712405.0000,90
2005,2015-03-19 16:42:44.597,Defense,Army,ERS,Not Reported,KRIEG,0,0,0,0,9155761.0000,275
2005,2015-03-19 16:42:44.597,Defense,Army,ERS,Order Dependent (IDV only),KRIEG,0,0,0,0,0.0000,NULL
2005,2015-03-19 16:42:44.597,Defense,Army,ERS,Time and Materials,ALDRIDGE,0,0,0,0,8147463.0000,54
2005,2015-03-19 16:42:44.597,Defense,Army,ERS,Time and Materials,GANSLER+,0,0,0,0,40822.0000,8
2005,2015-03-19 16:42:44.597,Defense,Army,ERS,Time and Materials,KRIEG,0,0,0,0,60903510.0000,119
2005,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Cost Plus Award Fee,GANSLER+,0,0,0,0,371910266.0000,250
2005,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Firm Fixed Price,WYNNE,0,0,0,0,8063485354.7400,48300
2005,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Fixed Price Award Fee,ALDRIDGE,0,0,0,0,25110.0000,3
2005,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Fixed Price Award Fee,GANSLER+,0,0,0,0,-8447.0000,1
2005,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Fixed Price Award Fee,KRIEG,0,0,0,0,1656495.0000,10
2005,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Fixed Price Redetermination,ALDRIDGE,0,0,0,0,-54674.0000,1
2005,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Fixed Price Redetermination,GANSLER+,0,0,0,0,1368393.0000,13
2005,2015-03-19 16:42:44.597,Defense,Army,Fuel,Firm Fixed Price,KRIEG,0,0,0,0,6249262.0000,312
2005,2015-03-19 16:42:44.597,Defense,Army,Fuel,Not Reported,WYNNE,0,0,0,0,949894.0000,59
2005,2015-03-19 16:42:44.597,Defense,Army,ICT,Cost No Fee,ALDRIDGE,0,0,0,0,700000.0000,1
2005,2015-03-19 16:42:44.597,Defense,Army,ICT,Cost No Fee,KRIEG,0,0,0,0,6158625.0000,5
2005,2015-03-19 16:42:44.597,Defense,Army,ICT,Cost Plus Incentive,WYNNE,0,0,0,0,8694440.0000,7
2005,2015-03-19 16:42:44.597,Defense,Army,ICT,Labor Hours,ALDRIDGE,0,0,0,0,6408944.0000,43
2005,2015-03-19 16:42:44.597,Defense,Army,ICT,Labor Hours,KRIEG,0,0,0,0,7931955.0000,28
2005,2015-03-19 16:42:44.597,Defense,Army,ICT,Not Reported,GANSLER+,0,0,0,0,-408592.0000,15
2005,2015-03-19 16:42:44.597,Defense,Army,MED,Cost No Fee,GANSLER+,0,0,0,0,28926843.9100,13
2005,2015-03-19 16:42:44.597,Defense,Army,MED,Fixed Price Level of Effort,WYNNE,0,0,0,0,1560.0000,1
2005,2015-03-19 16:42:44.597,Defense,Army,MED,Fixed Price with Economic Price Adjustment,ALDRIDGE,0,0,0,0,342620.0000,2
2005,2015-03-19 16:42:44.597,Defense,Army,MED,Fixed Price with Economic Price Adjustment,WYNNE,0,0,0,0,151423010.4900,985
2005,2015-03-19 16:42:44.597,Defense,Army,MED,Labor Hours,GANSLER+,0,0,0,0,-6183.0000,1
2005,2015-03-19 16:42:44.597,Defense,Army,MED,Time and Materials,WYNNE,0,0,0,0,489176.0000,31
2005,2015-03-19 16:42:44.597,Defense,Army,PAMS,Cost Plus Incentive,ALDRIDGE,0,0,0,0,70001542.0000,18
2005,2015-03-19 16:42:44.597,Defense,Army,PAMS,Cost Plus Incentive,GANSLER+,0,0,0,0,-1298151.0000,4
2005,2015-03-19 16:42:44.597,Defense,Army,PAMS,Firm Fixed Price,WYNNE,0,0,0,0,3261610121.0800,26328
2005,2015-03-19 16:42:44.597,Defense,Army,PAMS,Fixed Price Award Fee,ALDRIDGE,0,0,0,0,19618998.0000,5
2005,2015-03-19 16:42:44.597,Defense,Army,PAMS,Fixed Price Level of Effort,KRIEG,0,0,0,0,924843.0000,1
2005,2015-03-19 16:42:44.597,Defense,Army,PAMS,Fixed Price with Economic Price Adjustment,KRIEG,0,0,0,0,630642.0000,8
2005,2015-03-19 16:42:44.597,Defense,Army,Products,Combination (two or more),KRIEG,0,0,0,0,29309925.0000,1098
2005,2015-03-19 16:42:44.597,Defense,Army,Products,Cost Plus Fixed Fee,GANSLER+,0,0,0,0,230372895.7400,170
2007,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Cost Plus Incentive,ALDRIDGE,0,0,0,0,3994741.5600,15
2007,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Cost Plus Incentive,YOUNG,0,0,0,0,19726472.8600,13
2007,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Cost Sharing,WYNNE,0,0,0,0,440779.0000,1
2007,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Firm Fixed Price,KRIEG,0,0,0,0,3201041550.4400,13151
2007,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Labor Hours,WYNNE,0,0,0,0,35046422.3600,115
2007,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Order Dependent (IDV only),GANSLER+,0,0,0,0,0.0000,NULL
2007,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Order Dependent (IDV only),WYNNE,0,0,0,0,0.0000,NULL
2007,2015-03-19 16:42:44.597,Defense,Air Force,Products,Cost Plus Award Fee,WYNNE,0,0,0,0,654398657.2900,93
2007,2015-03-19 16:42:44.597,Defense,Air Force,Products,Cost Plus Incentive,ALDRIDGE,0,0,0,0,12285910.5400,9
2007,2015-03-19 16:42:44.597,Defense,Air Force,Products,Cost Plus Incentive,YOUNG,0,0,0,0,10716443.0000,3
2007,2015-03-19 16:42:44.597,Defense,Air Force,Products,Fixed Price Award Fee,KRIEG,0,0,0,0,12175149.3200,10
2007,2015-03-19 16:42:44.597,Defense,Air Force,Products,Not Reported,YOUNG,0,0,0,0,-128466.0000,2
2007,2015-03-19 16:42:44.597,Defense,Air Force,Products,Order Dependent (IDV only),GANSLER+,0,0,0,0,0.0000,NULL
2007,2015-03-19 16:42:44.597,Defense,Air Force,Products,Time and Materials,KRIEG,0,0,0,0,114578408.7300,477
2007,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Combination (two or more),WYNNE,0,0,0,0,3894868.2300,32
2007,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Cost No Fee,KRIEG,0,0,0,0,181418681.3500,610
2007,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Cost No Fee,YOUNG,0,0,0,0,17619298.2500,73
2007,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Cost Plus Award Fee,YOUNG,0,0,0,0,1520784.0000,12
2007,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Cost Plus Fixed Fee,ALDRIDGE,0,0,0,0,151851367.6000,696
2007,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Cost Sharing,GANSLER+,0,0,0,0,141254.0000,4
2007,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Firm Fixed Price,GANSLER+,0,0,0,0,45622544.3000,7
2007,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Fixed Price Incentive,GANSLER+,0,0,0,0,24509766.0000,6
2007,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Fixed Price Incentive,WYNNE,0,0,0,0,1465946.0000,13
2007,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Fixed Price with Economic Price Adjustment,KRIEG,0,0,0,0,0.0000,1
2007,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Order Dependent (IDV only),YOUNG,0,0,0,0,0.0000,NULL
2007,2015-03-19 16:42:44.597,Defense,Army,ERS,Combination (two or more),GANSLER+,0,0,0,0,7514916.0000,20
2007,2015-03-19 16:42:44.597,Defense,Army,ERS,Combination (two or more),WYNNE,0,0,0,0,2420118.9300,100
2007,2015-03-19 16:42:44.597,Defense,Army,ERS,Cost No Fee,YOUNG,0,0,0,0,10575656.0000,48
2007,2015-03-19 16:42:44.597,Defense,Army,ERS,Cost Plus Fixed Fee,ALDRIDGE,0,0,0,0,27449801.0900,25
2007,2015-03-19 16:42:44.597,Defense,Army,ERS,Cost Plus Incentive,KRIEG,0,0,0,0,231146659.0000,32
2007,2015-03-19 16:42:44.597,Defense,Army,ERS,Firm Fixed Price,GANSLER+,0,0,0,0,65510107.5700,31
2007,2015-03-19 16:42:44.597,Defense,Army,ERS,Fixed Price with Economic Price Adjustment,KRIEG,0,0,0,0,100000.0000,1
2007,2015-03-19 16:42:44.597,Defense,Army,ERS,Labor Hours,YOUNG,0,0,0,0,24122997.0000,4
2007,2015-03-19 16:42:44.597,Defense,Army,ERS,Order Dependent (IDV only),ALDRIDGE,0,0,0,0,0.0000,NULL
2007,2015-03-19 16:42:44.597,Defense,Army,ERS,Order Dependent (IDV only),YOUNG,0,0,0,0,0.0000,NULL
2007,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Combination (two or more),ALDRIDGE,0,0,0,0,122778213.0000,188
2007,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Cost No Fee,KRIEG,0,0,0,0,42139446.1400,202
2007,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Cost Plus Award Fee,KRIEG,0,0,0,0,282755409.7600,1002
2007,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Cost Plus Fixed Fee,YOUNG,0,0,0,0,62541464.0000,66
2005,2015-03-19 16:42:44.597,Defense,Army,Products,Fixed Price Incentive,WYNNE,0,0,0,0,416724592.0000,20
2005,2015-03-19 16:42:44.597,Defense,Army,Products,Not Reported,WYNNE,0,0,0,0,893234069.7700,16149
2005,2015-03-19 16:42:44.597,Defense,Army,Products,Order Dependent (IDV only),ALDRIDGE,0,0,0,0,0.0000,NULL
2005,2015-03-19 16:42:44.597,Defense,Army,Products,Order Dependent (IDV only),KRIEG,0,0,0,0,0.0000,NULL
2005,2015-03-19 16:42:44.597,Defense,Army,Products,Time and Materials,ALDRIDGE,0,0,0,0,24175664.0000,21
2005,2015-03-19 16:42:44.597,Defense,Army,R&D,Cost Plus Incentive,ALDRIDGE,0,0,0,0,240805396.0000,63
2005,2015-03-19 16:42:44.597,Defense,Army,R&D,Cost Plus Incentive,GANSLER+,0,0,0,0,294398007.0000,119
2005,2015-03-19 16:42:44.597,Defense,Army,R&D,Cost Sharing,ALDRIDGE,0,0,0,0,3121040.0000,6
2005,2015-03-19 16:42:44.597,Defense,Army,R&D,Cost Sharing,KRIEG,0,0,0,0,402400.0000,3
2005,2015-03-19 16:42:44.597,Defense,Army,R&D,Firm Fixed Price,WYNNE,0,0,0,0,1166933411.6100,2317
2005,2015-03-19 16:42:44.597,Defense,Army,R&D,Fixed Price Award Fee,KRIEG,0,0,0,0,303427.0000,2
2005,2015-03-19 16:42:44.597,Defense,Army,R&D,Fixed Price Level of Effort,KRIEG,0,0,0,0,0.0000,6
2005,2015-03-19 16:42:44.597,Defense,Army,R&D,Fixed Price with Economic Price Adjustment,KRIEG,0,0,0,0,1294203.0000,20
2005,2015-03-19 16:42:44.597,Defense,Army,R&D,Time and Materials,KRIEG,0,0,0,0,78549817.0000,149
2005,2015-03-19 16:42:44.597,Defense,DLA,ERS,Not Reported,WYNNE,0,0,0,0,17352346.0000,487
2005,2015-03-19 16:42:44.597,Defense,DLA,FRS&C,Firm Fixed Price,WYNNE,0,0,0,0,434430190.5000,10221
2005,2015-03-19 16:42:44.597,Defense,DLA,FRS&C,Fixed Price Redetermination,ALDRIDGE,0,0,0,0,678071.0000,5
2005,2015-03-19 16:42:44.597,Defense,DLA,FRS&C,Fixed Price Redetermination,KRIEG,0,0,0,0,0.0000,1
2005,2015-03-19 16:42:44.597,Defense,DLA,Fuel,Firm Fixed Price,ALDRIDGE,0,0,0,0,106207.0000,10
2005,2015-03-19 16:42:44.597,Defense,DLA,Fuel,Firm Fixed Price,KRIEG,0,0,0,0,22772366.8100,426
2005,2015-03-19 16:42:44.597,Defense,DLA,ICT,Fixed Price Incentive,GANSLER+,0,0,0,0,134892632.0000,33
2005,2015-03-19 16:42:44.597,Defense,DLA,ICT,Labor Hours,KRIEG,0,0,0,0,2268520.0000,2
2005,2015-03-19 16:42:44.597,Defense,DLA,PAMS,Fixed Price with Economic Price Adjustment,KRIEG,0,0,0,0,4192.0000,1
2005,2015-03-19 16:42:44.597,Defense,DLA,Products,Combination (two or more),WYNNE,0,0,0,0,326716.0000,3
2005,2015-03-19 16:42:44.597,Defense,DLA,Products,Firm Fixed Price,GANSLER+,0,0,0,0,15033594.0000,148
2005,2015-03-19 16:42:44.597,Defense,DLA,Products,Fixed Price Incentive,WYNNE,0,0,0,0,26293.0000,1
2005,2015-03-19 16:42:44.597,Defense,DLA,Products,Not Reported,WYNNE,0,0,0,0,173467520.0000,2012
2005,2015-03-19 16:42:44.597,Defense,DLA,R&D,Cost Sharing,ALDRIDGE,0,0,0,0,77943.0000,1
2005,2015-03-19 16:42:44.597,Defense,DLA,R&D,Cost Sharing,KRIEG,0,0,0,0,120618.0000,2
2005,2015-03-19 16:42:44.597,Defense,MDA,ERS,Not Reported,ALDRIDGE,0,0,0,0,2200.0000,1
2005,2015-03-19 16:42:44.597,Defense,MDA,ERS,Not Reported,WYNNE,0,0,0,0,-699.0000,2
2005,2015-03-19 16:42:44.597,Defense,MDA,FRS&C,Cost Plus Fixed Fee,WYNNE,0,0,0,0,1204484.7000,7
2005,2015-03-19 16:42:44.597,Defense,MDA,FRS&C,Firm Fixed Price,WYNNE,0,0,0,0,2473842.0000,13
2005,2015-03-19 16:42:44.597,Defense,MDA,PAMS,Time and Materials,KRIEG,0,0,0,0,124737.0000,2
2005,2015-03-19 16:42:44.597,Defense,MDA,Products,Cost Plus Award Fee,KRIEG,0,0,0,0,33112500.0000,7
2005,2015-03-19 16:42:44.597,Defense,MDA,Products,Not Reported,WYNNE,0,0,0,0,22640.0000,5
2005,2015-03-19 16:42:44.597,Defense,MilitaryHealth,ICT,Firm Fixed Price,ALDRIDGE,0,0,0,0,132600.0000,1
2005,2015-03-19 16:42:44.597,Defense,MilitaryHealth,MED,Firm Fixed Price,ALDRIDGE,0,0,0,0,-8780.0000,1
2005,2015-03-19 16:42:44.597,Defense,MilitaryHealth,MED,Firm Fixed Price,GANSLER+,0,0,0,0,54120122.0000,278
2005,2015-03-19 16:42:44.597,Defense,MilitaryHealth,PAMS,Not Reported,WYNNE,0,0,0,0,214878.0000,2
2005,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Not Reported,ALDRIDGE,0,0,0,0,99857477.0000,400
2005,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Not Reported,KRIEG,0,0,0,0,114742139.0000,371
2005,2015-03-19 16:42:44.597,Defense,Air Force,PAMS,Time and Materials,GANSLER+,0,0,0,0,43213241.0000,84
2005,2015-03-19 16:42:44.597,Defense,Air Force,Products,Cost Plus Award Fee,GANSLER+,0,0,0,0,713749595.0000,172
2005,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Cost No Fee,ALDRIDGE,0,0,0,0,124518217.0000,314
2005,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Cost No Fee,WYNNE,0,0,0,0,352421478.0000,370
2005,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Cost Sharing,GANSLER+,0,0,0,0,11202738.0000,16
2005,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Fixed Price Incentive,ALDRIDGE,0,0,0,0,18313925.0000,32
2005,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Fixed Price Incentive,GANSLER+,0,0,0,0,41348236.0000,18
2005,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Fixed Price with Economic Price Adjustment,GANSLER+,0,0,0,0,71927656.0000,24
2005,2015-03-19 16:42:44.597,Defense,Air Force,R&D,Time and Materials,GANSLER+,0,0,0,0,1120925.0000,1
2005,2015-03-19 16:42:44.597,Defense,Army,ERS,Fixed Price with Economic Price Adjustment,WYNNE,0,0,0,0,542170793.0000,85
2005,2015-03-19 16:42:44.597,Defense,Army,ERS,Labor Hours,ALDRIDGE,0,0,0,0,-20000.0000,1
2005,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Cost Plus Award Fee,ALDRIDGE,0,0,0,0,455377048.0000,411
2005,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Cost Plus Award Fee,KRIEG,0,0,0,0,41637646.0000,241
2005,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Cost Plus Fixed Fee,ALDRIDGE,0,0,0,0,114001461.0000,197
2005,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Cost Plus Fixed Fee,GANSLER+,0,0,0,0,3026782.0000,36
2005,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Fixed Price Redetermination,WYNNE,0,0,0,0,38441561.7500,112
2005,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Order Dependent (IDV only),ALDRIDGE,0,0,0,0,0.0000,NULL
2005,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Order Dependent (IDV only),WYNNE,0,0,0,0,0.0000,NULL
2005,2015-03-19 16:42:44.597,Defense,Army,FRS&C,Other (none of the above),GANSLER+,0,0,0,0,8105529.0000,11
2005,2015-03-19 16:42:44.597,Defense,Army,ICT,Cost Sharing,WYNNE,0,0,0,0,0.0000,1
2005,2015-03-19 16:42:44.597,Defense,Army,ICT,Fixed Price Level of Effort,KRIEG,0,0,0,0,143962.0000,1
2005,2015-03-19 16:42:44.597,Defense,Army,ICT,Fixed Price with Economic Price Adjustment,ALDRIDGE,0,0,0,0,551084.0000,4
2005,2015-03-19 16:42:44.597,Defense,Army,ICT,Fixed Price with Economic Price Adjustment,KRIEG,0,0,0,0,5408111.0000,17
2005,2015-03-19 16:42:44.597,Defense,Army,ICT,Time and Materials,KRIEG,0,0,0,0,60016449.8100,101
2005,2015-03-19 16:42:44.597,Defense,Army,MED,Cost No Fee,WYNNE,0,0,0,0,135936.0000,2
2005,2015-03-19 16:42:44.597,Defense,Army,MED,Labor Hours,WYNNE,0,0,0,0,1778355.0000,62
2005,2015-03-19 16:42:44.597,Defense,Army,MED,Not Reported,ALDRIDGE,0,0,0,0,2255802.0000,26
2005,2015-03-19 16:42:44.597,Defense,Army,MED,Not Reported,KRIEG,0,0,0,0,2208852.0000,30
2005,2015-03-19 16:42:44.597,Defense,Army,PAMS,Cost No Fee,ALDRIDGE,0,0,0,0,5587905.0000,35
2005,2015-03-19 16:42:44.597,Defense,Army,PAMS,Cost No Fee,KRIEG,0,0,0,0,45230288.0000,95
